Sequence,Company,City,Province,Year,record
1,\u56DB\u5DDD\u7701\u94F6\u6CB3\u5316\u5B66\u80A1\u4EFD\u6709\u9650\u516C\u53F8,\u7EF5\u9633,\u56DB\u5DDD,2016,1
2,\u56DB\u5DDD\u897F\u5357\u4E0D\u9508\u94A2\u6709\u9650\u8D23\u4EFB\u516C\u53F8,\u4E50\u5C71,\u56DB\u5DDD,2017,2
3,\u56DB\u5DDD\u7701\u661F\u8239\u57CE\u6C34\u6CE5\u80A1\u4EFD\u6709\u9650\u516C\u53F8,\u5185\u6C5F,\u56DB\u5DDD,2016,3
4,\u56DB\u5DDD\u6CF8\u5B9A\u5C71\u76DB\u6C34\u6CE5\u6709\u9650\u516C\u53F8,\u7518\u5B5C,\u56DB\u5DDD,2017,1
5,\u90A2\u53F0\u5E02\u6C38\u51A0\u7EBF\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,2
6,\u5B81\u664B\u53BF\u6ECF\u9633\u6C34\u6D17\u5382,\u90A2\u53F0,\u6CB3\u5317,2013,1
7,\u6CB3\u5317\u8FEA\u745E\u7279\u670D\u9970\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2016,3
8,\u5218\u4E30\u5934\u7816\u5382,\u90A2\u53F0,\u6CB3\u5317,2014,1
9,\u5B81\u664B\u53BF\u98DE\u8FC5\u5236\u8863\u5382,\u90A2\u53F0,\u6CB3\u5317,2014,1
10,\u827E\u8F9B\u5E84\u97E9\u7ACB\u6D9Bmc\u5C3C\u9F99\u5382,\u90A2\u53F0,\u6CB3\u5317,2014,1
11,\u5B81\u664B\u53BF\u6C38\u5B89\u7164\u573A,\u90A2\u53F0,\u6CB3\u5317,2014,1
12,\u90A2\u53F0\u4F18\u901A\u7269\u8D44\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2014,1
13,\u5B81\u664B\u53BF\u5180\u5B89\u6D88\u9632\u5668\u6750\u5382,\u90A2\u53F0,\u6CB3\u5317,2014,1
